date,open,high,low,close,volume,barCount,wap
2022-03-28 13:00:00,451.66,452.54,451.42,452.43,36548.63,21796,452.078
2022-03-28 14:00:00,452.42,454.42,452.17,454.41,48757.7,27826,453.238
2022-03-28 15:00:00,454.41,455.89,453.87,455.87,137462.81,78815,454.831
2022-03-29 09:30:00,460.02,461.75,458.68,459.27,112388.29,62421,460.217
2022-03-29 10:00:00,459.3,459.71,457.18,459.19,104152.54,65603,458.333
2022-03-29 11:00:00,459.19,459.95,458.25,459.44,50981.89,31666,459.198
2022-03-29 12:00:00,459.45,459.49,457.51,458.31,50905.75,28863,458.445
2022-03-29 13:00:00,458.31,459.56,457.65,459.55,48168.12,28262,458.507
2022-03-29 14:00:00,459.54,460.84,459.09,460.57,60671.1,34611,459.993
2022-03-29 15:00:00,460.56,462.07,460.31,461.6,179131.55,93263,461.278
2022-03-30 09:30:00,460.34,461.0,459.84,460.9,48797.57,30580,460.426
2022-03-30 10:00:00,460.9,461.2,459.76,459.84,65644.68,38440,460.435
2022-03-30 11:00:00,459.86,460.05,458.64,459.67,74092.93,44065,459.407
2022-03-30 12:00:00,459.65,460.12,459.07,459.9,43000.14,28553,459.643
2022-03-30 13:00:00,459.89,459.94,458.51,458.64,53785.48,35504,459.058
2022-03-30 14:00:00,458.65,459.34,457.78,457.88,65875.7,41707,458.619
2022-03-30 15:00:00,457.89,458.73,456.46,458.71,159691.4,85249,457.575
2022-03-31 09:30:00,457.89,458.15,457.11,457.93,48264.18,30739,457.682
2022-03-31 10:00:00,457.91,458.76,456.56,458.46,68512.34,40911,457.416
2022-03-31 11:00:00,458.48,458.62,457.28,457.92,43255.87,26700,457.844
2022-03-31 12:00:00,457.93,458.12,456.61,456.71,42011.37,26393,457.156
2022-03-31 13:00:00,456.7,457.48,456.27,456.95,42667.3,26289,456.822
2022-03-31 14:00:00,456.93,456.99,455.83,456.58,70806.72,44941,456.202
2022-03-31 15:00:00,456.6,457.36,451.16,451.65,339195.99,173111,453.846
2022-04-01 09:30:00,453.32,453.46,451.66,452.26,56576.71,33954,452.571
2022-04-01 10:00:00,452.25,452.81,450.8,451.99,90982.49,54008,451.727
2022-04-01 11:00:00,451.99,452.43,450.11,450.35,61333.16,32977,451.263
2022-04-01 12:00:00,450.33,450.51,449.35,449.93,51261.52,27790,449.971
2022-04-01 13:00:00,449.95,450.88,449.14,450.53,45766.4,27670,450.053
2022-04-01 14:00:00,450.53,452.77,450.47,451.8,72654.47,40971,451.811
2022-04-01 15:00:00,451.8,453.19,450.31,452.88,181836.99,90615,452.03
